loadId,relationshipType,fromDrniId,toDrniId,p2Create,p2CreateActivity,p3Create,p3CreateActivity,p2Latest,p3Latest,latest,drniId,internalPurpose,internalCreate,internalCreateActivity,isEndOfConnection,segmentNumber,seq
1000,HAS,100000,100001,,,,,TRUE,TRUE,2;3,200000,TRUE,TRUE,99999,,,
1001,HAS,100000,100002,,,,,TRUE,TRUE,2;3,200001,TRUE,TRUE,99999,,,
1002,HAS,100001,100003,,,,,TRUE,TRUE,2;3,200002,TRUE,TRUE,99999,,,
1003,HAS,100003,100004,,,,,TRUE,TRUE,2;3,200003,TRUE,TRUE,99999,,,
1004,HAS,100003,100005,,,,,TRUE,TRUE,2;3,200004,TRUE,TRUE,99999,,,
1005,HAS,100003,100006,,,,,TRUE,TRUE,2;3,200005,TRUE,TRUE,99999,,,
1006,HAS,100003,100007,,,,,TRUE,TRUE,2;3,200006,TRUE,TRUE,99999,,,
1007,HAS,100003,100008,,,,,TRUE,TRUE,2;3,200007,TRUE,TRUE,99999,,,
1008,HAS,100003,100009,,,,,TRUE,TRUE,2;3,200008,TRUE,TRUE,99999,,,
1009,HAS,100003,100010,,,,,TRUE,TRUE,2;3,200009,TRUE,TRUE,99999,,,
1010,HAS,100003,100011,,,,,TRUE,TRUE,2;3,200010,TRUE,TRUE,99999,,,
1011,HAS,100003,100012,,,,,TRUE,TRUE,2;3,200011,TRUE,TRUE,99999,,,
1012,HAS,100003,100013,,,,,TRUE,TRUE,2;3,200012,TRUE,TRUE,99999,,,
1013,HAS,100003,100014,,,,,TRUE,TRUE,2;3,200013,TRUE,TRUE,99999,,,
1014,HAS,100003,100015,,,,,TRUE,TRUE,2;3,200014,TRUE,TRUE,99999,,,
1015,HAS,100003,100016,,,,,TRUE,TRUE,2;3,200015,TRUE,TRUE,99999,,,
1016,HAS,100003,100017,,,,,TRUE,TRUE,2;3,200016,TRUE,TRUE,99999,,,
1017,HAS,100003,100018,,,,,TRUE,TRUE,2;3,200017,TRUE,TRUE,99999,,,
1018,HAS,100003,100019,,,,,TRUE,TRUE,2;3,200018,TRUE,TRUE,99999,,,
1019,HAS,100003,100020,,,,,TRUE,TRUE,2;3,200019,TRUE,TRUE,99999,,,
1020,HAS,100003,100021,,,,,TRUE,TRUE,2;3,200020,TRUE,TRUE,99999,,,
1021,HAS,100003,100022,,,,,TRUE,TRUE,2;3,200021,TRUE,TRUE,99999,,,
1022,HAS,100003,100023,,,,,TRUE,TRUE,2;3,200022,TRUE,TRUE,99999,,,
1023,HAS,100004,100024,,,,,TRUE,TRUE,2;3,200023,TRUE,TRUE,99999,,,
1024,HAS,100024,100025,,,,,TRUE,TRUE,2;3,200024,TRUE,TRUE,99999,,,
1025,HAS,100005,100026,,,,,TRUE,TRUE,2;3,200025,TRUE,TRUE,99999,,,
1026,HAS,100026,100027,,,,,TRUE,TRUE,2;3,200026,TRUE,TRUE,99999,,,
1027,HAS,100006,100028,,,,,TRUE,TRUE,2;3,200027,TRUE,TRUE,99999,,,
1028,HAS,100028,100029,,,,,TRUE,TRUE,2;3,200028,TRUE,TRUE,99999,,,
1029,HAS,100007,100030,,,,,TRUE,TRUE,2;3,200029,TRUE,TRUE,99999,,,
1030,HAS,100030,100031,,,,,TRUE,TRUE,2;3,200030,TRUE,TRUE,99999,,,
1031,HAS,100032,100033,,,,,TRUE,TRUE,2;3,200031,TRUE,TRUE,99999,,,
1032,HAS,100032,100034,,,,,TRUE,TRUE,2;3,200032,TRUE,TRUE,99999,,,
1033,HAS,100033,100035,,,,,TRUE,TRUE,2;3,200033,TRUE,TRUE,99999,,,
1034,HAS,100035,100036,,,,,TRUE,TRUE,2;3,200034,TRUE,TRUE,99999,,,
1035,HAS,100035,100037,,,,,TRUE,TRUE,2;3,200035,TRUE,TRUE,99999,,,
1036,HAS,100035,100038,,,,,TRUE,TRUE,2;3,200036,TRUE,TRUE,99999,,,
1037,HAS,100035,100039,,,,,TRUE,TRUE,2;3,200037,TRUE,TRUE,99999,,,
1038,HAS,100035,100040,,,,,TRUE,TRUE,2;3,200038,TRUE,TRUE,99999,,,
1039,HAS,100035,100041,,,,,TRUE,TRUE,2;3,200039,TRUE,TRUE,99999,,,
1040,HAS,100035,100042,,,,,TRUE,TRUE,2;3,200040,TRUE,TRUE,99999,,,
1041,HAS,100035,100043,,,,,TRUE,TRUE,2;3,200041,TRUE,TRUE,99999,,,
1042,HAS,100035,100044,,,,,TRUE,TRUE,2;3,200042,TRUE,TRUE,99999,,,
1043,HAS,100035,100045,,,,,TRUE,TRUE,2;3,200043,TRUE,TRUE,99999,,,
1044,HAS,100035,100046,,,,,TRUE,TRUE,2;3,200044,TRUE,TRUE,99999,,,
1045,HAS,100035,100047,,,,,TRUE,TRUE,2;3,200045,TRUE,TRUE,99999,,,
1046,HAS,100035,100048,,,,,TRUE,TRUE,2;3,200046,TRUE,TRUE,99999,,,
1047,HAS,100035,100049,,,,,TRUE,TRUE,2;3,200047,TRUE,TRUE,99999,,,
1048,HAS,100035,100050,,,,,TRUE,TRUE,2;3,200048,TRUE,TRUE,99999,,,
1049,HAS,100035,100051,,,,,TRUE,TRUE,2;3,200049,TRUE,TRUE,99999,,,
1050,HAS,100035,100052,,,,,TRUE,TRUE,2;3,200050,TRUE,TRUE,99999,,,
1051,HAS,100035,100053,,,,,TRUE,TRUE,2;3,200051,TRUE,TRUE,99999,,,
1052,HAS,100035,100054,,,,,TRUE,TRUE,2;3,200052,TRUE,TRUE,99999,,,
1053,HAS,100035,100055,,,,,TRUE,TRUE,2;3,200053,TRUE,TRUE,99999,,,
1054,HAS,100036,100056,,,,,TRUE,TRUE,2;3,200054,TRUE,TRUE,99999,,,
1055,HAS,100056,100057,,,,,TRUE,TRUE,2;3,200055,TRUE,TRUE,99999,,,
1056,HAS,100037,100058,,,,,TRUE,TRUE,2;3,200056,TRUE,TRUE,99999,,,
1057,HAS,100058,100059,,,,,TRUE,TRUE,2;3,200057,TRUE,TRUE,99999,,,
1058,HAS,100038,100060,,,,,TRUE,TRUE,2;3,200058,TRUE,TRUE,99999,,,
1059,HAS,100060,100061,,,,,TRUE,TRUE,2;3,200059,TRUE,TRUE,99999,,,
1060,HAS,100039,100062,,,,,TRUE,TRUE,2;3,200060,TRUE,TRUE,99999,,,
1061,HAS,100062,100063,,,,,TRUE,TRUE,2;3,200061,TRUE,TRUE,99999,,,
1062,HAS,100064,100065,,,,,TRUE,TRUE,2;3,200062,TRUE,TRUE,99999,,,
1063,HAS,100064,100066,,,,,TRUE,TRUE,2;3,200063,TRUE,TRUE,99999,,,
1064,HAS,100065,100067,,,,,TRUE,TRUE,2;3,200064,TRUE,TRUE,99999,,,
1065,HAS,100067,100068,,,,,TRUE,TRUE,2;3,200065,TRUE,TRUE,99999,,,
1066,HAS,100067,100069,,,,,TRUE,TRUE,2;3,200066,TRUE,TRUE,99999,,,
1067,HAS,100067,100070,,,,,TRUE,TRUE,2;3,200067,TRUE,TRUE,99999,,,
1068,HAS,100067,100071,,,,,TRUE,TRUE,2;3,200068,TRUE,TRUE,99999,,,
1069,HAS,100067,100072,,,,,TRUE,TRUE,2;3,200069,TRUE,TRUE,99999,,,
1070,HAS,100067,100073,,,,,TRUE,TRUE,2;3,200070,TRUE,TRUE,99999,,,
1071,HAS,100067,100074,,,,,TRUE,TRUE,2;3,200071,TRUE,TRUE,99999,,,
1072,HAS,100067,100075,,,,,TRUE,TRUE,2;3,200072,TRUE,TRUE,99999,,,
1073,HAS,100067,100076,,,,,TRUE,TRUE,2;3,200073,TRUE,TRUE,99999,,,
1074,HAS,100067,100077,,,,,TRUE,TRUE,2;3,200074,TRUE,TRUE,99999,,,
1075,HAS,100067,100078,,,,,TRUE,TRUE,2;3,200075,TRUE,TRUE,99999,,,
1076,HAS,100067,100079,,,,,TRUE,TRUE,2;3,200076,TRUE,TRUE,99999,,,
1077,HAS,100067,100080,,,,,TRUE,TRUE,2;3,200077,TRUE,TRUE,99999,,,
1078,HAS,100067,100081,,,,,TRUE,TRUE,2;3,200078,TRUE,TRUE,99999,,,
1079,HAS,100067,100082,,,,,TRUE,TRUE,2;3,200079,TRUE,TRUE,99999,,,
1080,HAS,100067,100083,,,,,TRUE,TRUE,2;3,200080,TRUE,TRUE,99999,,,
1081,HAS,100067,100084,,,,,TRUE,TRUE,2;3,200081,TRUE,TRUE,99999,,,
1082,HAS,100067,100085,,,,,TRUE,TRUE,2;3,200082,TRUE,TRUE,99999,,,
1083,HAS,100067,100086,,,,,TRUE,TRUE,2;3,200083,TRUE,TRUE,99999,,,
1084,HAS,100067,100087,,,,,TRUE,TRUE,2;3,200084,TRUE,TRUE,99999,,,
1085,HAS,100068,100088,,,,,TRUE,TRUE,2;3,200085,TRUE,TRUE,99999,,,
1086,HAS,100088,100089,,,,,TRUE,TRUE,2;3,200086,TRUE,TRUE,99999,,,
1087,HAS,100069,100090,,,,,TRUE,TRUE,2;3,200087,TRUE,TRUE,99999,,,
1088,HAS,100090,100091,,,,,TRUE,TRUE,2;3,200088,TRUE,TRUE,99999,,,
1089,HAS,100070,100092,,,,,TRUE,TRUE,2;3,200089,TRUE,TRUE,99999,,,
1090,HAS,100092,100093,,,,,TRUE,TRUE,2;3,200090,TRUE,TRUE,99999,,,
1091,HAS,100071,100094,,,,,TRUE,TRUE,2;3,200091,TRUE,TRUE,99999,,,
1092,HAS,100094,100095,,,,,TRUE,TRUE,2;3,200092,TRUE,TRUE,99999,,,
1093,HAS,100096,100097,,,,,TRUE,TRUE,2;3,200093,TRUE,TRUE,99999,,,
1094,HAS,100096,100098,,,,,TRUE,TRUE,2;3,200094,TRUE,TRUE,99999,,,
1095,HAS,100097,100099,,,,,TRUE,TRUE,2;3,200095,TRUE,TRUE,99999,,,
1096,HAS,100099,100100,,,,,TRUE,TRUE,2;3,200096,TRUE,TRUE,99999,,,
1097,HAS,100099,100101,,,,,TRUE,TRUE,2;3,200097,TRUE,TRUE,99999,,,
1098,HAS,100099,100102,,,,,TRUE,TRUE,2;3,200098,TRUE,TRUE,99999,,,
1099,HAS,100099,100103,,,,,TRUE,TRUE,2;3,200099,TRUE,TRUE,99999,,,
1100,HAS,100099,100104,,,,,TRUE,TRUE,2;3,200100,TRUE,TRUE,99999,,,
1101,HAS,100099,100105,,,,,TRUE,TRUE,2;3,200101,TRUE,TRUE,99999,,,
1102,HAS,100099,100106,,,,,TRUE,TRUE,2;3,200102,TRUE,TRUE,99999,,,
1103,HAS,100099,100107,,,,,TRUE,TRUE,2;3,200103,TRUE,TRUE,99999,,,
1104,HAS,100099,100108,,,,,TRUE,TRUE,2;3,200104,TRUE,TRUE,99999,,,
1105,HAS,100099,100109,,,,,TRUE,TRUE,2;3,200105,TRUE,TRUE,99999,,,
1106,HAS,100099,100110,,,,,TRUE,TRUE,2;3,200106,TRUE,TRUE,99999,,,
1107,HAS,100099,100111,,,,,TRUE,TRUE,2;3,200107,TRUE,TRUE,99999,,,
1108,HAS,100099,100112,,,,,TRUE,TRUE,2;3,200108,TRUE,TRUE,99999,,,
1109,HAS,100099,100113,,,,,TRUE,TRUE,2;3,200109,TRUE,TRUE,99999,,,
1110,HAS,100099,100114,,,,,TRUE,TRUE,2;3,200110,TRUE,TRUE,99999,,,
1111,HAS,100099,100115,,,,,TRUE,TRUE,2;3,200111,TRUE,TRUE,99999,,,
1112,HAS,100099,100116,,,,,TRUE,TRUE,2;3,200112,TRUE,TRUE,99999,,,
1113,HAS,100099,100117,,,,,TRUE,TRUE,2;3,200113,TRUE,TRUE,99999,,,
1114,HAS,100099,100118,,,,,TRUE,TRUE,2;3,200114,TRUE,TRUE,99999,,,
1115,HAS,100099,100119,,,,,TRUE,TRUE,2;3,200115,TRUE,TRUE,99999,,,
1116,HAS,100100,100120,,,,,TRUE,TRUE,2;3,200116,TRUE,TRUE,99999,,,
1117,HAS,100120,100121,,,,,TRUE,TRUE,2;3,200117,TRUE,TRUE,99999,,,
1118,HAS,100101,100122,,,,,TRUE,TRUE,2;3,200118,TRUE,TRUE,99999,,,
1119,HAS,100122,100123,,,,,TRUE,TRUE,2;3,200119,TRUE,TRUE,99999,,,
1120,HAS,100102,100124,,,,,TRUE,TRUE,2;3,200120,TRUE,TRUE,99999,,,
1121,HAS,100124,100125,,,,,TRUE,TRUE,2;3,200121,TRUE,TRUE,99999,,,
1122,HAS,100103,100126,,,,,TRUE,TRUE,2;3,200122,TRUE,TRUE,99999,,,
1123,HAS,100126,100127,,,,,TRUE,TRUE,2;3,200123,TRUE,TRUE,99999,,,
1124,HAS,100128,100129,,,,,TRUE,TRUE,2;3,200124,TRUE,TRUE,99999,,,
1125,HAS,100128,100130,,,,,TRUE,TRUE,2;3,200125,TRUE,TRUE,99999,,,
1126,HAS,100129,100131,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200126,,,,,,
1127,HAS,100131,100132,,,,,TRUE,TRUE,2;3,200127,TRUE,TRUE,99999,,,
1128,HAS,100131,100133,,,,,TRUE,TRUE,2;3,200128,TRUE,TRUE,99999,,,
1129,HAS,100131,100134,,,,,TRUE,TRUE,2;3,200129,TRUE,TRUE,99999,,,
1130,HAS,100131,100135,,,,,TRUE,TRUE,2;3,200130,TRUE,TRUE,99999,,,
1131,HAS,100131,100136,,,,,TRUE,TRUE,2;3,200131,TRUE,TRUE,99999,,,
1132,HAS,100131,100137,,,,,TRUE,TRUE,2;3,200132,TRUE,TRUE,99999,,,
1133,HAS,100131,100138,,,,,TRUE,TRUE,2;3,200133,TRUE,TRUE,99999,,,
1134,HAS,100131,100139,,,,,TRUE,TRUE,2;3,200134,TRUE,TRUE,99999,,,
1135,HAS,100131,100140,,,,,TRUE,TRUE,2;3,200135,TRUE,TRUE,99999,,,
1136,HAS,100131,100141,,,,,TRUE,TRUE,2;3,200136,TRUE,TRUE,99999,,,
1137,HAS,100131,100142,,,,,TRUE,TRUE,2;3,200137,TRUE,TRUE,99999,,,
1138,HAS,100131,100143,,,,,TRUE,TRUE,2;3,200138,TRUE,TRUE,99999,,,
1139,HAS,100131,100144,,,,,TRUE,TRUE,2;3,200139,TRUE,TRUE,99999,,,
1140,HAS,100131,100145,,,,,TRUE,TRUE,2;3,200140,TRUE,TRUE,99999,,,
1141,HAS,100131,100146,,,,,TRUE,TRUE,2;3,200141,TRUE,TRUE,99999,,,
1142,HAS,100131,100147,,,,,TRUE,TRUE,2;3,200142,TRUE,TRUE,99999,,,
1143,HAS,100131,100148,,,,,TRUE,TRUE,2;3,200143,TRUE,TRUE,99999,,,
1144,HAS,100131,100149,,,,,TRUE,TRUE,2;3,200144,TRUE,TRUE,99999,,,
1145,HAS,100131,100150,,,,,TRUE,TRUE,2;3,200145,TRUE,TRUE,99999,,,
1146,HAS,100131,100151,,,,,TRUE,TRUE,2;3,200146,TRUE,TRUE,99999,,,
1147,HAS,100133,100152,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200147,,,,,,
1148,HAS,100152,100153,,,,,TRUE,TRUE,2;3,200148,TRUE,TRUE,99999,,,
1149,HAS,100136,100154,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200149,,,,,,
1150,HAS,100154,100155,,,,,TRUE,TRUE,2;3,200150,TRUE,TRUE,99999,,,
1151,HAS,100156,100157,,,,,TRUE,TRUE,2;3,200151,TRUE,TRUE,99999,,,
1152,HAS,100156,100158,,,,,TRUE,TRUE,2;3,200152,TRUE,TRUE,99999,,,
1153,HAS,100157,100159,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200153,,,,,,
1154,HAS,100159,100160,,,,,TRUE,TRUE,2;3,200154,TRUE,TRUE,99999,,,
1155,HAS,100159,100161,,,,,TRUE,TRUE,2;3,200155,TRUE,TRUE,99999,,,
1156,HAS,100159,100162,,,,,TRUE,TRUE,2;3,200156,TRUE,TRUE,99999,,,
1157,HAS,100159,100163,,,,,TRUE,TRUE,2;3,200157,TRUE,TRUE,99999,,,
1158,HAS,100159,100164,,,,,TRUE,TRUE,2;3,200158,TRUE,TRUE,99999,,,
1159,HAS,100159,100165,,,,,TRUE,TRUE,2;3,200159,TRUE,TRUE,99999,,,
1160,HAS,100159,100166,,,,,TRUE,TRUE,2;3,200160,TRUE,TRUE,99999,,,
1161,HAS,100159,100167,,,,,TRUE,TRUE,2;3,200161,TRUE,TRUE,99999,,,
1162,HAS,100159,100168,,,,,TRUE,TRUE,2;3,200162,TRUE,TRUE,99999,,,
1163,HAS,100159,100169,,,,,TRUE,TRUE,2;3,200163,TRUE,TRUE,99999,,,
1164,HAS,100159,100170,,,,,TRUE,TRUE,2;3,200164,TRUE,TRUE,99999,,,
1165,HAS,100159,100171,,,,,TRUE,TRUE,2;3,200165,TRUE,TRUE,99999,,,
1166,HAS,100159,100172,,,,,TRUE,TRUE,2;3,200166,TRUE,TRUE,99999,,,
1167,HAS,100159,100173,,,,,TRUE,TRUE,2;3,200167,TRUE,TRUE,99999,,,
1168,HAS,100159,100174,,,,,TRUE,TRUE,2;3,200168,TRUE,TRUE,99999,,,
1169,HAS,100159,100175,,,,,TRUE,TRUE,2;3,200169,TRUE,TRUE,99999,,,
1170,HAS,100159,100176,,,,,TRUE,TRUE,2;3,200170,TRUE,TRUE,99999,,,
1171,HAS,100159,100177,,,,,TRUE,TRUE,2;3,200171,TRUE,TRUE,99999,,,
1172,HAS,100159,100178,,,,,TRUE,TRUE,2;3,200172,TRUE,TRUE,99999,,,
1173,HAS,100159,100179,,,,,TRUE,TRUE,2;3,200173,TRUE,TRUE,99999,,,
1174,HAS,100161,100180,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200174,,,,,,
1175,HAS,100180,100181,,,,,TRUE,TRUE,2;3,200175,TRUE,TRUE,99999,,,
1176,HAS,100165,100182,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200176,,,,,,
1177,HAS,100182,100183,,,,,TRUE,TRUE,2;3,200177,TRUE,TRUE,99999,,,
1178,HAS,100184,100185,,,,,TRUE,TRUE,2;3,200178,TRUE,TRUE,99999,,,
1179,HAS,100184,100186,,,,,TRUE,TRUE,2;3,200179,TRUE,TRUE,99999,,,
1180,HAS,100185,100187,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200180,,,,,,
1181,HAS,100187,100188,,,,,TRUE,TRUE,2;3,200181,TRUE,TRUE,99999,,,
1182,HAS,100187,100189,,,,,TRUE,TRUE,2;3,200182,TRUE,TRUE,99999,,,
1183,HAS,100187,100190,,,,,TRUE,TRUE,2;3,200183,TRUE,TRUE,99999,,,
1184,HAS,100187,100191,,,,,TRUE,TRUE,2;3,200184,TRUE,TRUE,99999,,,
1185,HAS,100187,100192,,,,,TRUE,TRUE,2;3,200185,TRUE,TRUE,99999,,,
1186,HAS,100187,100193,,,,,TRUE,TRUE,2;3,200186,TRUE,TRUE,99999,,,
1187,HAS,100187,100194,,,,,TRUE,TRUE,2;3,200187,TRUE,TRUE,99999,,,
1188,HAS,100187,100195,,,,,TRUE,TRUE,2;3,200188,TRUE,TRUE,99999,,,
1189,HAS,100187,100196,,,,,TRUE,TRUE,2;3,200189,TRUE,TRUE,99999,,,
1190,HAS,100187,100197,,,,,TRUE,TRUE,2;3,200190,TRUE,TRUE,99999,,,
1191,HAS,100187,100198,,,,,TRUE,TRUE,2;3,200191,TRUE,TRUE,99999,,,
1192,HAS,100187,100199,,,,,TRUE,TRUE,2;3,200192,TRUE,TRUE,99999,,,
1193,HAS,100187,100200,,,,,TRUE,TRUE,2;3,200193,TRUE,TRUE,99999,,,
1194,HAS,100187,100201,,,,,TRUE,TRUE,2;3,200194,TRUE,TRUE,99999,,,
1195,HAS,100187,100202,,,,,TRUE,TRUE,2;3,200195,TRUE,TRUE,99999,,,
1196,HAS,100187,100203,,,,,TRUE,TRUE,2;3,200196,TRUE,TRUE,99999,,,
1197,HAS,100187,100204,,,,,TRUE,TRUE,2;3,200197,TRUE,TRUE,99999,,,
1198,HAS,100187,100205,,,,,TRUE,TRUE,2;3,200198,TRUE,TRUE,99999,,,
1199,HAS,100187,100206,,,,,TRUE,TRUE,2;3,200199,TRUE,TRUE,99999,,,
1200,HAS,100187,100207,,,,,TRUE,TRUE,2;3,200200,TRUE,TRUE,99999,,,
1201,HAS,100190,100208,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200201,,,,,,
1202,HAS,100208,100209,,,,,TRUE,TRUE,2;3,200202,TRUE,TRUE,99999,,,
1203,HAS,100194,100210,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200203,,,,,,
1204,HAS,100210,100211,,,,,TRUE,TRUE,2;3,200204,TRUE,TRUE,99999,,,
1205,HAS,100212,100213,,,,,TRUE,TRUE,2;3,200205,TRUE,TRUE,99999,,,
1206,HAS,100212,100214,,,,,TRUE,TRUE,2;3,200206,TRUE,TRUE,99999,,,
1207,HAS,100213,100215,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200207,,,,,,
1208,HAS,100215,100216,,,,,TRUE,TRUE,2;3,200208,TRUE,TRUE,99999,,,
1209,HAS,100215,100217,,,,,TRUE,TRUE,2;3,200209,TRUE,TRUE,99999,,,
1210,HAS,100215,100218,,,,,TRUE,TRUE,2;3,200210,TRUE,TRUE,99999,,,
1211,HAS,100215,100219,,,,,TRUE,TRUE,2;3,200211,TRUE,TRUE,99999,,,
1212,HAS,100215,100220,,,,,TRUE,TRUE,2;3,200212,TRUE,TRUE,99999,,,
1213,HAS,100215,100221,,,,,TRUE,TRUE,2;3,200213,TRUE,TRUE,99999,,,
1214,HAS,100215,100222,,,,,TRUE,TRUE,2;3,200214,TRUE,TRUE,99999,,,
1215,HAS,100215,100223,,,,,TRUE,TRUE,2;3,200215,TRUE,TRUE,99999,,,
1216,HAS,100215,100224,,,,,TRUE,TRUE,2;3,200216,TRUE,TRUE,99999,,,
1217,HAS,100215,100225,,,,,TRUE,TRUE,2;3,200217,TRUE,TRUE,99999,,,
1218,HAS,100215,100226,,,,,TRUE,TRUE,2;3,200218,TRUE,TRUE,99999,,,
1219,HAS,100215,100227,,,,,TRUE,TRUE,2;3,200219,TRUE,TRUE,99999,,,
1220,HAS,100215,100228,,,,,TRUE,TRUE,2;3,200220,TRUE,TRUE,99999,,,
1221,HAS,100215,100229,,,,,TRUE,TRUE,2;3,200221,TRUE,TRUE,99999,,,
1222,HAS,100215,100230,,,,,TRUE,TRUE,2;3,200222,TRUE,TRUE,99999,,,
1223,HAS,100215,100231,,,,,TRUE,TRUE,2;3,200223,TRUE,TRUE,99999,,,
1224,HAS,100215,100232,,,,,TRUE,TRUE,2;3,200224,TRUE,TRUE,99999,,,
1225,HAS,100215,100233,,,,,TRUE,TRUE,2;3,200225,TRUE,TRUE,99999,,,
1226,HAS,100215,100234,,,,,TRUE,TRUE,2;3,200226,TRUE,TRUE,99999,,,
1227,HAS,100215,100235,,,,,TRUE,TRUE,2;3,200227,TRUE,TRUE,99999,,,
1228,HAS,100219,100236,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200228,,,,,,
1229,HAS,100236,100237,,,,,TRUE,TRUE,2;3,200229,TRUE,TRUE,99999,,,
1230,HAS,100223,100238,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200230,,,,,,
1231,HAS,100238,100239,,,,,TRUE,TRUE,2;3,200231,TRUE,TRUE,99999,,,
1232,PRESENTS,100025,100240,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200232,,,,,,
1233,PRESENTS,100027,100241,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200233,,,,,,
1234,PRESENTS,100029,100242,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200234,,,,,,
1235,PRESENTS,100031,100243,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200235,,,,,,
1236,PRESENTS,100057,100244,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200236,,,,,,
1237,PRESENTS,100059,100245,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200237,,,,,,
1238,PRESENTS,100061,100246,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200238,,,,,,
1239,PRESENTS,100063,100247,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200239,,,,,,
1240,PRESENTS,100089,100248,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200240,,,,,,
1241,PRESENTS,100091,100249,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200241,,,,,,
1242,PRESENTS,100093,100250,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200242,,,,,,
1243,PRESENTS,100095,100251,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200243,,,,,,
1244,PRESENTS,100121,100252,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200244,,,,,,
1245,PRESENTS,100123,100253,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200245,,,,,,
1246,PRESENTS,100125,100254,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200246,,,,,,
1247,PRESENTS,100127,100255,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200247,,,,,,
1248,PRESENTS,100153,100256,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200248,,,,,,
1249,PRESENTS,100155,100257,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200249,,,,,,
1250,PRESENTS,100181,100258,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200250,,,,,,
1251,PRESENTS,100183,100259,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200251,,,,,,
1252,PRESENTS,100209,100260,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200252,,,,,,
1253,PRESENTS,100211,100261,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200253,,,,,,
1254,PRESENTS,100237,100262,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200254,,,,,,
